Image,1,2,3,4,5,6,7,8,9
real_00088.jpg,0.277522197,0.15901868,0.126084831,0.106493983,0.088692203,0.075607561,0.064120301,0.055047171,0.047413075
real_00089.jpg,0.294729438,0.163082158,0.121199569,0.098964125,0.083701237,0.072338864,0.062577844,0.055127107,0.048279658
real_00090.jpg,0.303011606,0.168398146,0.119716627,0.096209645,0.080106612,0.069634361,0.060940835,0.053514652,0.048467516
real_00091.jpg,0.288377068,0.181521664,0.131587648,0.101707253,0.082006473,0.066545348,0.056560212,0.048675455,0.043018878
real_00092.jpg,0.28576591,0.157574039,0.121828977,0.101711782,0.087387628,0.075929416,0.065166147,0.056198609,0.048437491
real_00093.jpg,0.296202658,0.184568923,0.129675831,0.099442679,0.079064056,0.064325325,0.055195924,0.04808077,0.043443834
real_00094.jpg,0.307955487,0.174495973,0.121608551,0.094043391,0.078948977,0.066361499,0.058434917,0.051583927,0.046567279
real_00095.jpg,0.314030778,0.182406785,0.123451507,0.092548337,0.073963642,0.063245764,0.055284467,0.049535105,0.045533615
real_00096.jpg,0.310338311,0.180652279,0.125289707,0.093517783,0.076013072,0.063227047,0.055387582,0.050377106,0.045197112
real_00097.jpg,0.265556554,0.171806988,0.135663884,0.109711495,0.090078238,0.073471045,0.059742506,0.050911852,0.043057437
real_00098.jpg,0.312110584,0.176903795,0.120469439,0.091522758,0.076012828,0.066047122,0.057518189,0.052251872,0.047163414
real_00099.jpg,0.304385165,0.169898056,0.120746295,0.095415838,0.078837367,0.068567887,0.060054919,0.053932141,0.048162333
real_00100.jpg,0.308659955,0.173001773,0.120819135,0.093506284,0.078139157,0.066721513,0.059117161,0.052713497,0.047321523
real_00101.jpg,0.2822447,0.166876126,0.128692417,0.103223636,0.0863603,0.072510955,0.06205374,0.052678115,0.045360011
real_00102.jpg,0.283626032,0.158307363,0.121685076,0.102610794,0.088515676,0.075440855,0.065549251,0.055702129,0.048562826
real_00103.jpg,0.279147683,0.167968663,0.128494833,0.104206023,0.085895655,0.073463718,0.062220802,0.052691966,0.045910657
real_00104.jpg,0.298486313,0.181183943,0.126432279,0.09825626,0.079007324,0.066412719,0.056754909,0.049547672,0.043918581
real_00105.jpg,0.312733052,0.175758131,0.119717253,0.09247898,0.076071554,0.066496618,0.058010881,0.05166186,0.04707167
real_00106.jpg,0.313712194,0.176467973,0.121884319,0.092328941,0.07604083,0.064849527,0.056970873,0.0508736,0.046871743
real_00107.jpg,0.28811577,0.168190001,0.126023736,0.101506851,0.083896365,0.071397615,0.061254709,0.053042594,0.046572359
real_00108.jpg,0.300153093,0.179485042,0.127025142,0.097984791,0.078593994,0.065999283,0.056577562,0.04941472,0.044766374
real_00109.jpg,0.311284522,0.180664632,0.122846948,0.092361007,0.075759092,0.064306716,0.055819563,0.051200818,0.045756702
real_00110.jpg,0.28157236,0.168712824,0.129681644,0.104488766,0.086227542,0.071869713,0.060281767,0.051860989,0.045304395
real_00111.jpg,0.281909736,0.178846768,0.134045479,0.104546528,0.083107141,0.067576991,0.057183736,0.049446443,0.043337177
real_00112.jpg,0.297651168,0.18381076,0.130137462,0.09870485,0.077706242,0.065610577,0.055104326,0.048096454,0.043178162
real_00113.jpg,0.290059539,0.180022393,0.130777117,0.100707632,0.080606668,0.066904118,0.057163417,0.050176005,0.043583111
real_00114.jpg,0.306195517,0.162774084,0.117605853,0.094670099,0.081255004,0.070350027,0.062327655,0.055925881,0.048895882
real_00115.jpg,0.312437474,0.177902892,0.122068207,0.092644672,0.075609702,0.064924635,0.057074098,0.050813121,0.0465252
real_00116.jpg,0.311880913,0.174745139,0.12005981,0.092550389,0.077083634,0.065994264,0.058359551,0.051964403,0.047361897
real_00117.jpg,0.306007619,0.179378315,0.124131339,0.094894872,0.076667232,0.064980425,0.057200335,0.050803989,0.045935875
real_00118.jpg,0.305305764,0.154072457,0.113335389,0.094983707,0.084216053,0.073484514,0.065336545,0.058069212,0.05119636
real_00119.jpg,0.315815945,0.177641433,0.118478566,0.09091869,0.074990761,0.065165017,0.057540063,0.052140906,0.047308619
real_00120.jpg,0.311234454,0.155197751,0.111169449,0.093362558,0.082028374,0.072124854,0.065029877,0.058121026,0.051731658
real_00121.jpg,0.295136622,0.17800714,0.128859377,0.099506855,0.080467307,0.066987095,0.05675747,0.049353355,0.044924778
real_00122.jpg,0.291651731,0.197631929,0.139052605,0.102242192,0.07664691,0.060743989,0.049959569,0.043423894,0.038647182
real_00123.jpg,0.311864058,0.170605418,0.117856815,0.092565057,0.078118182,0.067309429,0.06025553,0.053179396,0.048246114
real_00124.jpg,0.311683114,0.183207486,0.12586882,0.09433978,0.074496911,0.061843608,0.054515086,0.049318145,0.044727049
real_00125.jpg,0.282114183,0.161419642,0.125620225,0.104117239,0.08812335,0.073976941,0.063183776,0.054304765,0.047139881
real_00126.jpg,0.313187287,0.174758712,0.120323256,0.093494591,0.076153502,0.065129127,0.057595202,0.052231693,0.047126632
real_00127.jpg,0.265414313,0.188247585,0.142644391,0.108421851,0.085354909,0.068200573,0.055236185,0.046311707,0.040168487
real_00128.jpg,0.299837092,0.158576861,0.117190975,0.096991482,0.083936594,0.072813807,0.064446001,0.056164376,0.050042812
real_00129.jpg,0.325299932,0.172297551,0.114584347,0.088085796,0.073906917,0.06514725,0.058621964,0.053327812,0.048728431
real_00130.jpg,0.268427653,0.170304414,0.132869311,0.108654122,0.08896051,0.073468684,0.061374993,0.051809048,0.044131265
real_00131.jpg,0.299537442,0.126874193,0.106646664,0.098153936,0.090444639,0.081776889,0.073486964,0.065513745,0.057565529
real_00132.jpg,0.299799978,0.172702523,0.122933104,0.095991221,0.080947883,0.068449272,0.059873319,0.05232248,0.04698022
real_00133.jpg,0.301933838,0.161556187,0.117973265,0.096711336,0.082743342,0.071799661,0.062482106,0.055090882,0.049709382
real_00134.jpg,0.280779638,0.16415066,0.126793939,0.103472033,0.087842606,0.073504981,0.062914974,0.053755674,0.046785494
real_00135.jpg,0.298885174,0.166101054,0.123103392,0.097021293,0.081178586,0.070411104,0.061892175,0.053998616,0.047408606
real_00136.jpg,0.300850483,0.180710338,0.125174695,0.096820621,0.078232795,0.065927043,0.05638307,0.05041774,0.045483214
real_00137.jpg,0.292837003,0.168517258,0.124794777,0.099631919,0.083105771,0.07032155,0.061093131,0.053042572,0.046656018
real_00138.jpg,0.286525985,0.174721809,0.130319659,0.101854605,0.083086284,0.069599767,0.058108164,0.050689746,0.045093981
real_00139.jpg,0.300144465,0.175949437,0.124272816,0.096560633,0.080077789,0.067284345,0.058158078,0.051926656,0.045625781
real_00140.jpg,0.296188359,0.171623837,0.124761772,0.09729129,0.081619669,0.069709682,0.059124878,0.052618419,0.047062092
real_00141.jpg,0.310167443,0.173709442,0.119852706,0.093489891,0.077220871,0.066390607,0.059125964,0.052197596,0.04784548
